Portfolio,Expense Ratio,Distribution Yield,Total Risk,IG Spread Beta
Strategic LT Allocation 20/80,0.12,2.23,4.1,-2.53
Strategic LT Allocation 40/60,0.12,2.14,6.2,-5.65
Strategic LT Allocation 60/40,0.12,2.06,8.99,-8.80
Strategic LT Allocation 80/20,0.12,1.97,10.13,-11.87
Strategic LT Allocation 100/0,0.11,1.86,12,-14.84
__MIN,0.0,0.0,0.0,-20.0
__MAX,1.0,5.0,15.0,5.0
__FLOOR,0.0,0.0,0.0,
